Date,Block,Plot,Experimental_treatment ,Soil_NH4 ,Soil_NO3 
5/29/2014,1,105,Alfalfa II,7.75E+00,4.33E+00
5/29/2014,1,107,Alfalfa I,1.24E+01,7.70E+00
5/29/2014,1,111,Alfalfa NS,6.65E+00,1.54E+01
5/29/2014,1,113,Corn,6.05E+00,2.06E+01
5/29/2014,3,305,Alfalfa NS,7.70E+00,1.73E+01
5/29/2014,3,308,Alfalfa II,8.00E+00,4.79E+00
5/29/2014,3,309,Alfalfa I,9.30E+00,1.02E+01
5/29/2014,3,311,Corn,6.65E+00,3.32E+01
5/29/2014,4,404,Alfalfa I,1.10E+01,1.11E+01
5/29/2014,4,406,Alfalfa II,1.20E+01,7.90E+00
5/29/2014,4,409,Alfalfa NS,5.90E+00,3.07E+01
5/29/2014,4,414,Corn,6.55E+00,2.92E+01
6/27/2014,1,105,Alfalfa II,8.80E+00,3.71E+00
6/27/2014,1,107,Alfalfa I,8.25E+00,5.90E+00
6/27/2014,1,111,Alfalfa NS,6.65E+00,8.35E+00
6/27/2014,1,113,Corn,7.15E+00,7.00E+00
6/27/2014,3,305,Alfalfa NS,8.50E+00,5.95E+00
6/27/2014,3,308,Alfalfa II,1.11E+01,6.55E+00
6/27/2014,3,309,Alfalfa I,8.15E+00,1.48E+01
6/27/2014,3,311,Corn,8.70E+00,6.25E+00
6/27/2014,4,404,Alfalfa I,9.25E+00,1.26E+01
6/27/2014,4,406,Alfalfa II,9.65E+00,1.10E+01
6/27/2014,4,409,Alfalfa NS,8.40E+00,9.00E+00
6/27/2014,4,414,Corn,7.95E+00,6.85E+00
7/24/2014,1,105,Alfalfa II,7.45E+00,4.01E+00
7/24/2014,1,107,Alfalfa I,1.26E+01,7.20E+00
7/24/2014,1,111,Alfalfa NS,7.00E+00,4.38E+00
7/24/2014,1,113,Corn,6.25E+00,7.05E+00
7/24/2014,3,305,Alfalfa NS,9.85E+00,4.67E+00
7/24/2014,3,308,Alfalfa II,6.50E+00,1.43E+01
7/24/2014,3,309,Alfalfa I,8.75E+00,1.45E+01
7/24/2014,3,311,Corn,7.95E+00,1.62E+00
7/24/2014,4,404,Alfalfa I,7.05E+00,1.76E+01
7/24/2014,4,406,Alfalfa II,8.90E+00,1.14E+01
7/24/2014,4,409,Alfalfa NS,7.75E+00,1.28E+01
7/24/2014,4,414,Corn,1.09E+01,1.13E+00
8/27/2014,1,105,Alfalfa II,5.25E+00,3.70E+00
8/27/2014,1,107,Alfalfa I,4.94E+00,6.30E+00
8/27/2014,1,111,Alfalfa NS,4.19E+00,5.45E+00
8/27/2014,1,113,Corn,4.38E+00,3.85E+00
8/27/2014,3,305,Alfalfa NS,6.10E+00,5.70E+00
8/27/2014,3,308,Alfalfa II,5.70E+00,1.16E+01
8/27/2014,3,309,Alfalfa I,6.00E+00,1.93E+01
8/27/2014,3,311,Corn,4.78E+00,3.97E+00
8/27/2014,4,404,Alfalfa I,5.95E+00,8.65E+00
8/27/2014,4,406,Alfalfa II,7.55E+00,1.22E+01
8/27/2014,4,409,Alfalfa NS,5.80E+00,7.75E+00
8/27/2014,4,414,Corn,5.75E+00,3.86E+00
11/9/2014,1,105,Alfalfa II,1.01E+01,1.10E+01
11/9/2014,1,107,Alfalfa I,6.90E+00,2.93E+00
11/9/2014,1,111,Alfalfa NS,6.95E+00,3.31E+00
11/9/2014,1,113,Corn,7.35E+00,2.26E+01
11/9/2014,3,305,Alfalfa NS,6.70E+00,1.50E+01
11/9/2014,3,308,Alfalfa II,6.00E+00,1.12E+01
11/9/2014,3,309,Alfalfa I,7.60E+00,3.62E+00
11/9/2014,3,311,Corn,7.85E+00,5.25E+00
11/9/2014,4,404,Alfalfa I,6.75E+00,3.34E+00
11/9/2014,4,406,Alfalfa II,8.25E+00,2.42E+01
11/9/2014,4,409,Alfalfa NS,6.45E+00,3.31E+00
11/9/2014,4,414,Corn,7.10E+00,1.16E+01
4/17/2015,1,105,Corn,6.80E+00,1.05E+01
4/17/2015,1,107,Alfalfa II,5.30E+00,3.80E+00
4/17/2015,1,111,Alfalfa I,5.20E+00,4.10E+00
4/17/2015,1,113,Alfalfa NS,5.80E+00,6.70E+00
4/17/2015,3,305,Alfalfa I,6.40E+00,4.40E+00
4/17/2015,3,308,Corn,7.10E+00,2.69E+01
4/17/2015,3,309,Alfalfa II,4.80E+00,3.30E+00
4/17/2015,3,311,Alfalfa NS,5.50E+00,6.30E+00
4/17/2015,4,404,Alfalfa II,5.60E+00,4.40E+00
4/17/2015,4,406,Corn,6.60E+00,1.33E+01
4/17/2015,4,409,Alfalfa I,4.80E+00,4.10E+00
4/17/2015,4,414,Alfalfa NS,6.00E+00,5.10E+00
6/10/2015,1,105,Corn,6.90E+00,1.82E+01
6/10/2015,1,107,Alfalfa II,5.20E+00,2.30E+00
6/10/2015,1,111,Alfalfa I,5.00E+00,2.70E+00
6/10/2015,1,113,Alfalfa NS,6.30E+00,3.00E+00
6/10/2015,3,305,Alfalfa I,5.30E+00,4.90E+00
6/10/2015,3,308,Corn,5.00E+00,4.30E+00
6/10/2015,3,309,Alfalfa II,5.80E+00,1.86E+01
6/10/2015,3,311,Alfalfa NS,5.20E+00,2.50E+00
6/10/2015,4,404,Alfalfa II,5.70E+00,2.50E+00
6/10/2015,4,406,Corn,5.20E+00,2.80E+00
6/10/2015,4,409,Alfalfa I,5.60E+00,2.82E+01
6/10/2015,4,414,Alfalfa NS,5.60E+00,3.00E+00
8/10/2015,1,105,Corn,1.25E+01,4.80E+00
8/10/2015,1,107,Alfalfa II,1.03E+01,7.00E+00
8/10/2015,1,111,Alfalfa I,1.00E+01,5.70E+00
8/10/2015,1,113,Alfalfa NS,1.25E+01,1.23E+01
8/10/2015,3,305,Alfalfa I,1.22E+01,7.20E+00
8/10/2015,3,308,Corn,1.32E+01,7.10E+00
8/10/2015,3,309,Alfalfa II,9.40E+00,4.90E+00
8/10/2015,3,311,Alfalfa NS,9.30E+00,8.10E+00
8/10/2015,4,404,Alfalfa II,8.20E+00,5.10E+00
8/10/2015,4,406,Corn,8.80E+00,5.60E+00
8/10/2015,4,409,Alfalfa I,9.10E+00,5.60E+00
8/10/2015,4,414,Alfalfa NS,1.05E+01,7.00E+00
9/18/2015,1,105,Corn,6.30E+00,4.90E+00
9/18/2015,1,107,Alfalfa II,5.30E+00,2.80E+00
9/18/2015,1,111,Alfalfa I,5.40E+00,2.20E+00
9/18/2015,1,113,Alfalfa NS,6.50E+00,3.30E+00
9/18/2015,3,305,Alfalfa I,5.30E+00,3.60E+00
9/18/2015,3,308,Corn,5.80E+00,3.30E+00
9/18/2015,3,309,Alfalfa II,5.10E+00,7.10E+00
9/18/2015,3,311,Alfalfa NS,6.10E+00,3.30E+00
9/18/2015,4,404,Alfalfa II,6.20E+00,2.70E+00
9/18/2015,4,406,Corn,7.50E+00,3.70E+00
9/18/2015,4,409,Alfalfa I,6.50E+00,9.30E+00
9/18/2015,4,414,Alfalfa NS,6.70E+00,3.40E+00
10/30/2015,1,105,Corn,7.00E+00,5.00E+00
10/30/2015,1,107,Alfalfa II,8.40E+00,3.80E+00
10/30/2015,1,111,Alfalfa I,8.10E+00,1.70E+00
10/30/2015,1,113,Alfalfa NS,7.60E+00,2.20E+00
10/30/2015,3,305,Alfalfa I,7.00E+00,2.40E+00
10/30/2015,3,308,Corn,6.20E+00,2.10E+00
10/30/2015,3,309,Alfalfa II,6.90E+00,4.30E+00
10/30/2015,3,311,Alfalfa NS,6.00E+00,3.10E+00
10/30/2015,4,404,Alfalfa II,7.60E+00,1.80E+00
10/30/2015,4,406,Corn,7.10E+00,4.00E+00
10/30/2015,4,409,Alfalfa I,7.70E+00,6.10E+00
10/30/2015,4,414,Alfalfa NS,7.70E+00,2.30E+00
12/1/2015,1,105,Corn,3.68E+01,5.40E+00
12/1/2015,1,107,Alfalfa II,2.92E+01,4.30E+00
12/1/2015,1,111,Alfalfa I,5.20E+00,1.70E+00
12/1/2015,1,113,Alfalfa NS,4.90E+00,2.00E+00
12/1/2015,3,305,Alfalfa I,4.80E+00,2.00E+00
12/1/2015,3,308,Corn,5.90E+00,2.00E+00
12/1/2015,3,309,Alfalfa II,1.72E+01,3.60E+00
12/1/2015,3,311,Alfalfa NS,3.10E+01,5.00E+00
12/1/2015,4,404,Alfalfa II,5.00E+00,1.80E+00
12/1/2015,4,406,Corn,4.70E+01,7.00E+00
12/1/2015,4,409,Alfalfa I,4.69E+01,7.20E+00
12/1/2015,4,414,Alfalfa NS,4.50E+00,2.30E+00
